フィーチャID,形状(WKT),番号,指定区分,種別,名称,市町村名,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(137.183590346615 35.0413373175395),40,県指定,天然記念物,琴平町シデコブシ自生地,豊田市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:43:01
2,POINT(136.718091666698 35.1784266037239),50,県指定,天然記念物,津島神社のイチョウ,津島市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:56:01
3,POINT(136.841763061797 35.1795919174504),5,県指定,天然記念物,下萱津のフジ,海部郡　甚目寺町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:18:19
4,POINT(137.414291199588 34.9634511859082),3,県指定,天然記念物,須山のイヌツゲ,新城市　（旧作手村）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:17:58
5,POINT(137.66311658436 35.0211578683738),10,国指定,天然記念物,乳岩及び乳岩峡,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:27:46
6,POINT(137.086343876683 34.8516041923412),66,県指定,天然記念物,西尾のミカワギセル生息地,西尾市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:48:25
7,POINT(137.076561687442 34.8768571841035),53,県指定,天然記念物,西尾のヒメタイコウチ（生息地）,西尾市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:51:29
8,POINT(137.085114893211 34.9001487053536),69,県指定,天然記念物,本證寺のイブキ,安城市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:47:31
9,POINT(137.034398239921 34.9341712193907),68,県指定,天然記念物,榎前のクロガネモチ,安城市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:47:47
10,POINT(137.056961468217 35.0638706060867),19,国指定,天然記念物,小堤西池のカキツバタ群落,刈谷市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:27:55
11,POINT(137.366966389692 35.0142914049541),53,県指定,天然記念物,切山の大スギ,岡崎市　（旧額田町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:51:06
12,POINT(137.24453319413 34.9373013359499),15,国指定,天然記念物,岡崎ゲンジボタル発生地,岡崎市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:05
13,POINT(137.742918620638 35.0671848611277),78,県指定,天然記念物,煮え渕のポットホール,北設楽郡　東栄町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:45:42
14,POINT(137.749547790982 35.0804765661476),78,県指定,天然記念物,預り渕のポットホール,北設楽郡　東栄町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:45:52
15,POINT(137.631326946531 35.1487579053),42,県指定,天然記念物,ホソバシャクナゲ自生地,北設楽郡　設楽町　（旧津具村）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:01:09
16,POINT(137.56764695813 35.2890951851964),12,県指定,天然記念物,玄武岩,豊田市　（旧稲武町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:17:09
17,POINT(137.385215073657 35.188700719824),58,県指定,天然記念物,伊熊神社の社叢,豊田市　（旧旭町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:50:32
18,POINT(137.306701025441 35.1297269704101),55,県指定,天然記念物,足助のヒメハルゼミ,豊田市　（旧足助町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:50:52
19,POINT(137.312755347277 34.8507947386776),28,国指定,天然記念物,御油のマツ並木,豊川市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:17
20,POINT(137.236416396256 34.7888572934104),23,国指定,天然記念物,大島ナメクジウオ生息地,蒲郡市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:34
21,POINT(137.459819490267 34.7897953861428),30,国指定,天然記念物,石巻山石灰岩地植物群落,豊橋市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:44
22,POINT(137.451183527756 34.7442808960806),79,県指定,天然記念物,葦毛湿原,豊橋市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:44:43
23,POINT(137.409430508604 34.7218425323154),26,県指定,天然記念物,高師小僧,豊橋市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:18:38
24,POINT(136.939085857505 35.3089263841296),38,県指定,天然記念物,岩崎の清流亭の藤,小牧市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:03:12
25,POINT(137.01899839835 35.0732506129434),49,県指定,天然記念物,豊明のナガバノイシモチソウ,豊明市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:57:19
27,POINT(136.710797642416 35.1743110617624),37,県指定,天然記念物,下新田の藤,津島市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:02:48
28,POINT(136.799433636334 35.17801064218),15,県指定,天然記念物,七宝町のラカンマキ,海部郡　七宝町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:17:42
29,POINT(137.442020161777 34.9739477532471),33,国指定,天然記念物,甘泉寺のコウヤマキ,新城市　（旧作手村）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:28:53
30,POINT(137.455015418163 35.0007363702617),65,県指定,天然記念物,長の山湿原,新城市　（旧作手村）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:48:37
31,POINT(137.659237938575 34.9993132528743),8,県指定,天然記念物,鳳来町のムカデランの自生地,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:16:48
32,POINT(137.575112941056 34.9706522701008),16,県指定,天然記念物,ネズの樹,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:14:26
33,POINT(137.613742414433 34.9673340162673),14,国指定,天然記念物,馬背岩,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:29:22
34,POINT(137.534027547469 34.8512472041395),71,県指定,天然記念物,中宇利丸山の蛇紋岩植生,新城市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:47:16
35,POINT(137.103540541231 34.987053503231),76,県指定,天然記念物,永安寺の雲竜の松,安城市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:46:34
36,POINT(137.025044250119 34.9946768913078),20,県指定,天然記念物,万福寺のイブキ,知立市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:13:51
38,POINT(137.298541632769 34.9482347590226),51,県指定,天然記念物,寺野の大クス,岡崎市　（旧額田町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:51:17
39,POINT(137.568506782395 35.0977712813534),23,県指定,天然記念物,福田寺のイヌグス,北設楽郡　設楽町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:13:31
40,POINT(137.677649600358 35.2148448682322),1,国指定,天然記念物,川宇連ハナノキ自生地,北設楽郡　豊根村,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:29:44
41,POINT(137.622490358902 35.1760239642682),34,県指定,天然記念物,津具八幡宮の杉,北設楽郡　設楽町　（旧津具村）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:03:52
42,POINT(137.509831842051 35.214210892618),59,県指定,天然記念物,瑞竜寺のシダレザクラ,豊田市　（旧稲武町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:50:23
43,POINT(137.707255281006 35.0310746056691),10,県指定,天然記念物,須佐男神社のアヤスギ,北設楽郡　東栄町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:17:25
45,POINT(137.530896550939 35.2504770986628),77,県指定,天然記念物,大野瀬の子持桂,豊田市　（旧稲武町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:46:12
46,POINT(137.36041079572 35.2030127776435),26,国指定,天然記念物,杉本の貞観スギ,豊田市　（旧旭町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:29:56
47,POINT(137.398515678343 35.2052264591785),4,県指定,天然記念物,八幡のサクライソウ及びツクバネ自生地,豊田市　（旧旭町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:18:09
48,POINT(137.383636117156 35.2432135906586),57,県指定,天然記念物,時瀬のイチョウ,豊田市　（旧旭町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:50:41
49,POINT(136.971970029361 34.6969839139014),12,国指定,天然記念物,羽豆神社の社叢,知多郡　南知多町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:30:22
50,POINT(136.868074000514 34.8558708096588),64,県指定,天然記念物,多賀神社の社叢,常滑市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:48:50
51,POINT(136.826265617561 34.932603456387),70,県指定,天然記念物,常滑市大野町のイブキ,常滑市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:48:03
53,POINT(136.895335667009 34.869907788309),74,県指定,天然記念物,壱町田湿地植物群落,知多郡　武豊町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:46:51
54,POINT(136.886322494024 34.8022302022984),11,国指定,天然記念物,鵜の山ウ繁殖地,知多郡　美浜町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:57:58
55,POINT(136.93280477576 34.75167288345),46,県指定,天然記念物,阿奈志神社のほるとのき,知多郡　美浜町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:00:21
56,POINT(137.344757827172 34.7209174971286),18,県指定,天然記念物,お葉付イチョウ,豊橋市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:14:16
57,POINT(137.408090756392 34.7229540544052),26,県指定,天然記念物,高師小僧,豊橋市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:13:12
58,POINT(137.38042216313 34.8074858967578),20,国指定,天然記念物,牛久保のナギ,豊川市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:58:25
59,POINT(137.233916766595 34.8460498936046),4,国指定,天然記念物,清田の大クス,蒲郡市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:58:42
60,POINT(137.232040710064 34.810567918523),5,国指定,天然記念物,八百富神社社叢,蒲郡市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:58:55
61,POINT(137.276062333603 34.8311716341317),25,県指定,天然記念物,ヒメハルゼミの棲息地,蒲郡市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:12:56
62,POINT(137.42149336238 34.9057595818129),62,県指定,天然記念物,砥鹿神社奥宮（本宮山）の社叢,豊川市　（旧一宮町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:50:02
63,POINT(137.421509930199 34.8473250392496),63,県指定,天然記念物,砥鹿神社のケヤキ,豊川市　（旧一宮町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:49:06
64,POINT(137.242762875671 34.6432677524748),60,県指定,天然記念物,黒河湿地植物群落,田原市　（旧田原町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:50:13
65,POINT(137.029686732461 34.5863280300223),31,国指定,天然記念物,宮山原始林,田原市　（旧渥美町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 09:59:12
66,POINT(137.143754783284 34.6198856671258),32,国指定,天然記念物,椛のシデコブシ自生地,田原市　（旧渥美町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 10:00:16
67,POINT(137.074454031521 34.5885247322484),19,県指定,天然記念物,ハマボウの野生地,田原市　（旧渥美町）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:14:03
68,POINT(136.737247650694 35.3093246017003),39,県指定,天然記念物,起の大いちょう,一宮市　（旧尾西市）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:01:29
69,POINT(136.737707035589 35.3097949699694),45,県指定,天然記念物,起のやまがき,一宮市　（旧尾西市）,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:00:47
70,POINT(136.932718977968 35.3126371191271),35,県指定,天然記念物,熊野神社の五枚岩,小牧市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 16:04:05
71,POINT(137.158869962345 35.1930713482756),6,国指定,天然記念物,猿投山の球状花崗岩,豊田市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 10:00:28
72,POINT(136.897699430696 35.1840559725649),8,国指定,天然記念物,名古屋城のカヤ,名古屋市　中区,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/07 10:08:21
73,POINT(137.155984416464 34.8365932798621),67,県指定,天然記念物,三河地震による地震断層,額田郡　幸田町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:48:13
74,POINT(137.009212847975 35.3033319900109),81,県指定,天然記念物,大草のマメナシ自生地,小牧市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/12/11 15:44:27
75,POINT(136.985260660745 35.3312297352562),2,国指定,天然記念物,ヒトツバタゴ自生地,犬山市,"","",システム管理者,2020/09/07 18:32:52,システム管理者,""
76,POINT(137.04190239779 34.878647348905),7,国指定,天然記念物,神明社の大シイ,西尾市,"","",システム管理者,2020/09/07 18:34:41,システム管理者,""
77,POINT(137.576085585302 34.8625092048873),24,国指定,天然記念物,黄柳野ツゲ自生地,新城市,"","",システム管理者,2020/09/07 18:36:08,システム管理者,""
78,POINT(137.621680976808 35.1695222105935),13,県指定,天然記念物,金龍寺のシダレザクラ,北設楽郡　設楽町,"","",システム管理者,2020/12/11 16:22:55,システム管理者,""
79,POINT(137.162416676739 35.0051267789233),22,県指定,天然記念物,八柱神社のクスノキ,豊田市,"","",システム管理者,2020/12/11 16:25:33,システム管理者,""
80,POINT(136.769786843362 35.2053673440455),28,県指定,天然記念物,蓮華寺のカヤノキ,"","","",システム管理者,2020/12/11 16:27:18,システム管理者,""
81,POINT(137.700040340424 35.0709399981205),32,県指定,天然記念物,龍洞院のシダレザクラ,北設楽郡　東栄町,"","",システム管理者,2020/12/11 16:30:45,システム管理者,""
82,POINT(137.417791625855 34.8796347576161),41,県指定,天然記念物,宝円寺のシダレザクラ,豊川市,"","",システム管理者,2020/12/15 18:00:26,システム管理者,""
83,POINT(137.149189843452 34.6197140879271),44,県指定,天然記念物,伊川津のシデコブシ,田原市,"","",システム管理者,2020/12/15 18:02:17,システム管理者,""
84,POINT(137.292460624401 35.2619683732876),75,県指定,天然記念物,小原村前洞の四季桜,豊田市,"","",システム管理者,2020/12/15 18:04:48,システム管理者,""
85,POINT(136.928383506391 34.8981390231781),73,県指定,天然記念物,摂取院のイブキ,半田市,"","",システム管理者,2020/12/15 18:05:28,システム管理者,""
86,POINT(137.182232776836 34.6350879435984),82,県指定,天然記念物,光岩,田原市,"","",システム管理者,2020/12/15 18:06:27,システム管理者,""
87,POINT(137.471211011434 35.0659515767223),83,県指定,天然記念物,豊邦のアカガシ,北設楽郡　設楽町,"","",システム管理者,2020/12/15 18:07:12,システム管理者,""
88,POINT(136.848647483477 34.8852280282661),84,県指定,天然記念物,大善院のイブキ,常滑市,"","",システム管理者,2020/12/15 18:07:49,システム管理者,""
89,POINT(137.258236389927 34.916667798144),85,県指定,天然記念物,北山湿地,岡崎市,"","",システム管理者,2020/12/15 18:08:28,システム管理者,""
90,POINT(137.30168026245 35.0093360901685),85,県指定,天然記念物,下山小学校のヤマザクラ,岡崎市,"","",システム管理者,2020/12/15 18:08:58,システム管理者,""
91,POINT(137.212096761913 34.9157696165786),86,県指定,天然記念物,藤川の松並木,岡崎市,"","",システム管理者,2020/12/15 18:09:54,システム管理者,""
